"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20070201 ~ 20070228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","834-3","0834","0003","대동","53.23","74","200702","23","2,500","2","1983","옛강일길 30"
"강원도 강릉시 교동","268-7","0268","0007","이화","63.8","48.6","200702","5","3,700","4","1981","율곡로2968번길 24"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","200702","2","1,500","4","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","200702","2","2,400","1","1997","범일로 528"
"강원도 강릉시 노암동","337","0337","0000","개나리","50.71","62.55","200702","5","2,700","2","1983","노암길41번길 14"
"강원도 강릉시 노암동","337","0337","0000","개나리","50.46","62.55","200702","28","2,800","1","1983","노암길41번길 14"
"강원도 강릉시 노암동","277-1","0277","0001","노암연립","83.41","92.6","200702","23","2,400","1","1979","강변로312번길 18-2"
"강원도 강릉시 송정동","110-54","0110","0054","송정","68.4","67.5","200702","15","4,150","2","1981","팔송길18번길 15"
"강원도 강릉시 주문진읍 교항리","246-1","0246","0001","금성아트","82.34","66.1","200702","6","7,500","1","2003","민등산길 27"
"강원도 강릉시 주문진읍 교항리","246-1","0246","0001","금성아트","82.34","66.1","200702","6","7,500","2","2003","민등산길 27"
"강원도 강릉시 주문진읍 주문리","692-1","0692","0001","보성","46.8","43.64","200702","16","1,300","1","1988","주문북로 95"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","48.6","97.95","200702","20","2,000","2","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","48.6","97.95","200702","26","3,000","2","1988","강릉대로419번길 54"
"강원도 동해시 천곡동","973-6","0973","0006","남선빌라3차","68.24","35.75","200702","22","2,500","1","1993","감추2길 32-1"
"강원도 삼척시 원덕읍 호산리","213-43","0213","0043","아트빌라","73.88","45","200702","12","3,050","4","1998","호산2길 110"
"강원도 속초시 교동","619","0619","0000","장미아트빌(619-0)","74.875","85.69","200702","26","7,000","4","2004","미시령로3359번길 39"
"강원도 속초시 교동","773-1","0773","0001","코스모스(대양)","54","72.59","200702","22","3,450","2","1985","만천7길 47"
"강원도 속초시 교동","799-147","0799","0147","한솔빌라1차","119.33","51.34","200702","9","5,300","1","1992","만리공원길 23"
"강원도 속초시 금호동","512-26","0512","0026","속초효성빌라","205.65","157.34","200702","15","18,000","1","1996","영랑호반길 115-1"
"강원도 속초시 장사동","518-7","0518","0007","우림주택","62.64","156.93","200702","12","3,500","3","1986","중앙로 437-6"
"강원도 속초시 조양동","1373-8","1373","0008","우성","59.75","45","200702","8","2,500","2","1983","연포길 72-7"
"강원도 양구군 양구읍 상리","111-9","0111","0009","우성2동","74.19","66.38","200702","13","4,700","2","1993","중심로 77-6"
"강원도 양양군 양양읍 구교리","96","0096","0000","로얄빌라","64.53","54","200702","5","3,300","3","1990","관아길 25-16"
"강원도 양양군 양양읍 구교리","51-3","0051","0003","우신(51-3)","60.03","75.95","200702","8","3,000","2","1985","북문길 30"
"강원도 양양군 양양읍 연창리","227","0227","0000","연창로얄3차","75.57","53.5","200702","22","4,100","2","1999","관아길 35-1"
"강원도 영월군 영월읍 덕포리","633-7","0633","0007","늘푸른빌라(A동)","75.56","84.13","200702","8","7,500","2","2006","덕포하리1길 36-2"
"강원도 영월군 영월읍 영흥리","800-9","0800","0009","대흥주택(가동)","43.11","36.84","200702","14","2,480","3","1986","봉래산로 63"
"강원도 영월군 영월읍 영흥리","1037-1","1037","0001","동강","61.92","71.27","200702","20","1,500","3","1984","영모전길 112"
